frame_timestamp,matched_ground_truth_timestamp,ground_truth_delta_us,velodyne_file,Cam1,Cam2,Cam3,Cam4,Cam5
1328389904866397,1328389904873561,7164,1328389904866397.bin,1328389904866397.jpg,1328389904866397.jpg,1328389904866397.jpg,1328389904866397.jpg,1328389904866397.jpg
1328389905066347,1328389905065511,836,1328389905066347.bin,1328389905066347.jpg,1328389905066347.jpg,1328389905066347.jpg,1328389905066347.jpg,1328389905066347.jpg
1328389905266321,1328389905263528,2793,1328389905266321.bin,1328389905266321.jpg,1328389905266321.jpg,1328389905266321.jpg,1328389905266321.jpg,1328389905266321.jpg
1328389905466290,1328389905465277,1013,1328389905466290.bin,1328389905466290.jpg,1328389905466290.jpg,1328389905466290.jpg,1328389905466290.jpg,1328389905466290.jpg
1328389905666261,1328389905663584,2677,1328389905666261.bin,1328389905666261.jpg,1328389905666261.jpg,1328389905666261.jpg,1328389905666261.jpg,1328389905666261.jpg
1328389905866224,1328389905864714,1510,1328389905866224.bin,1328389905866224.jpg,1328389905866224.jpg,1328389905866224.jpg,1328389905866224.jpg,1328389905866224.jpg
1328389906066192,1328389906064901,1291,1328389906066192.bin,1328389906066192.jpg,1328389906066192.jpg,1328389906066192.jpg,1328389906066192.jpg,1328389906066192.jpg
1328389906266158,1328389906263591,2567,1328389906266158.bin,1328389906266158.jpg,1328389906266158.jpg,1328389906266158.jpg,1328389906266158.jpg,1328389906266158.jpg
1328389906466128,1328389906463639,2489,1328389906466128.bin,1328389906466128.jpg,1328389906466128.jpg,1328389906466128.jpg,1328389906466128.jpg,1328389906466128.jpg
1328389906666096,1328389906663855,2241,1328389906666096.bin,1328389906666096.jpg,1328389906666096.jpg,1328389906666096.jpg,1328389906666096.jpg,1328389906666096.jpg
1328389906866062,1328389906864008,2054,1328389906866062.bin,1328389906866062.jpg,1328389906866062.jpg,1328389906866062.jpg,1328389906866062.jpg,1328389906866062.jpg
1328389907066039,1328389907064065,1974,1328389907066039.bin,1328389907066039.jpg,1328389907066039.jpg,1328389907066039.jpg,1328389907066039.jpg,1328389907066039.jpg
1328389907265995,1328389907263656,2339,1328389907265995.bin,1328389907265995.jpg,1328389907265995.jpg,1328389907265995.jpg,1328389907265995.jpg,1328389907265995.jpg
1328389907465964,1328389907463740,2224,1328389907465964.bin,1328389907465964.jpg,1328389907465964.jpg,1328389907465964.jpg,1328389907465964.jpg,1328389907465964.jpg
1328389907665930,1328389907663873,2057,1328389907665930.bin,1328389907665930.jpg,1328389907665930.jpg,1328389907665930.jpg,1328389907665930.jpg,1328389907665930.jpg
1328389907865898,1328389907863686,2212,1328389907865898.bin,1328389907865898.jpg,1328389907865898.jpg,1328389907865898.jpg,1328389907865898.jpg,1328389907865898.jpg
1328389908065864,1328389908063601,2263,1328389908065864.bin,1328389908065864.jpg,1328389908065864.jpg,1328389908065864.jpg,1328389908065864.jpg,1328389908065864.jpg
1328389908265834,1328389908263722,2112,1328389908265834.bin,1328389908265834.jpg,1328389908265834.jpg,1328389908265834.jpg,1328389908265834.jpg,1328389908265834.jpg
1328389908465801,1328389908463858,1943,1328389908465801.bin,1328389908465801.jpg,1328389908465801.jpg,1328389908465801.jpg,1328389908465801.jpg,1328389908465801.jpg
1328389908665785,1328389908664078,1707,1328389908665785.bin,1328389908665785.jpg,1328389908665785.jpg,1328389908665785.jpg,1328389908665785.jpg,1328389908665785.jpg
1328389908865754,1328389908863690,2064,1328389908865754.bin,1328389908865754.jpg,1328389908865754.jpg,1328389908865754.jpg,1328389908865754.jpg,1328389908865754.jpg
1328389909065719,1328389909063864,1855,1328389909065719.bin,1328389909065719.jpg,1328389909065719.jpg,1328389909065719.jpg,1328389909065719.jpg,1328389909065719.jpg
1328389909265692,1328389909263840,1852,1328389909265692.bin,1328389909265692.jpg,1328389909265692.jpg,1328389909265692.jpg,1328389909265692.jpg,1328389909265692.jpg
1328389909465661,1328389909464284,1377,1328389909465661.bin,1328389909465661.jpg,1328389909465661.jpg,1328389909465661.jpg,1328389909465661.jpg,1328389909465661.jpg
1328389909665613,1328389909663614,1999,1328389909665613.bin,1328389909665613.jpg,1328389909665613.jpg,1328389909665613.jpg,1328389909665613.jpg,1328389909665613.jpg
1328389909865591,1328389909863752,1839,1328389909865591.bin,1328389909865591.jpg,1328389909865591.jpg,1328389909865591.jpg,1328389909865591.jpg,1328389909865591.jpg
1328389910065549,1328389910063813,1736,1328389910065549.bin,1328389910065549.jpg,1328389910065549.jpg,1328389910065549.jpg,1328389910065549.jpg,1328389910065549.jpg
1328389910265517,1328389910263565,1952,1328389910265517.bin,1328389910265517.jpg,1328389910265517.jpg,1328389910265517.jpg,1328389910265517.jpg,1328389910265517.jpg
1328389910465497,1328389910464067,1430,1328389910465497.bin,1328389910465497.jpg,1328389910465497.jpg,1328389910465497.jpg,1328389910465497.jpg,1328389910465497.jpg
1328389910665466,1328389910664312,1154,1328389910665466.bin,1328389910665466.jpg,1328389910665466.jpg,1328389910665466.jpg,1328389910665466.jpg,1328389910665466.jpg
1328389910865428,1328389910864174,1254,1328389910865428.bin,1328389910865428.jpg,1328389910865428.jpg,1328389910865428.jpg,1328389910865428.jpg,1328389910865428.jpg
1328389911065395,1328389911065751,356,1328389911065395.bin,1328389911065395.jpg,1328389911065395.jpg,1328389911065395.jpg,1328389911065395.jpg,1328389911065395.jpg
1328389911265362,1328389911266891,1529,1328389911265362.bin,1328389911265362.jpg,1328389911265362.jpg,1328389911265362.jpg,1328389911265362.jpg,1328389911265362.jpg
1328389911465332,1328389911463634,1698,1328389911465332.bin,1328389911465332.jpg,1328389911465332.jpg,1328389911465332.jpg,1328389911465332.jpg,1328389911465332.jpg
1328389911665289,1328389911663581,1708,1328389911665289.bin,1328389911665289.jpg,1328389911665289.jpg,1328389911665289.jpg,1328389911665289.jpg,1328389911665289.jpg
1328389911865268,1328389911865089,179,1328389911865268.bin,1328389911865268.jpg,1328389911865268.jpg,1328389911865268.jpg,1328389911865268.jpg,1328389911865268.jpg
1328389912065233,1328389912063551,1682,1328389912065233.bin,1328389912065233.jpg,1328389912065233.jpg,1328389912065233.jpg,1328389912065233.jpg,1328389912065233.jpg
